JLPT,Word,Reading,Meaning,Word Type,Example Sentence JP,Example Sentence EN
N5,便利,べんり,"convenient, handy",Na-adjective (keiyodoshi),このアプリはとても便利です。,This app is very convenient.
N5,帽子,ぼうし,hat; cap,Noun,私は新しい帽子を買いました。,I bought a new hat.
N5,ボールペン,ボールペン,a pen that uses a ballpoint to write,Noun,私はボールペンで手紙を書きます。,I write a letter with a ballpoint pen.
N5,外,ほか,"other, the rest",Noun,ほかの人は来ませんでした。,Other people did not come.
N5,ポケット,ポケット,pocket,Noun,私のポケットにお金があります。,I have money in my pocket.
N5,欲しい,ほしい,"to want, to desire",I-adjective (keiyoushi),私は新しい本が欲しいです。,I want a new book.
N5,ポスト,ポスト,mailbox; post,Noun,ポストに手紙を入れました。,I put a letter in the mailbox.
N5,細い,ほそい,"thin, slender, fine",I-adjective (keiyoushi),彼女は細い髪をしています。,She has thin hair.
N5,ボタン,ボタン,button,Noun,シャツのボタンが外れました。,The button of the shirt came off.
N5,ホテル,ホテル,hotel,Noun,私はホテルに泊まります。,I will stay at a hotel.
N5,本,ほん,book,Noun,私は毎日本を読みます。,I read a book every day.
N5,～本,～ほん,counter for long cylindrical objects,Counter,ペンを三本買いました。,I bought three pens.
N5,本棚,ほんだな,a shelf for holding books; bookshelf,Noun,私の部屋には大きな本棚があります。,There is a big bookshelf in my room.
N5,本当,ほんとう,"true, real",Noun,これは本当の話です。,This is a true story.
N5,～枚,～まい,counter for flat things,Counter,紙を三枚ください。,Please give me three sheets of paper.
N5,毎朝,まいあさ,every morning,Noun,私は毎朝ジョギングをします。,I go jogging every morning.
N5,毎月,まいげつ; まいつき,"every month, monthly",Noun,私は毎月本を買います。,I buy a book every month.
N5,毎週,まいしゅう,every week,Noun,私は毎週土曜日に友達と会います。,I meet my friends every Saturday.
N5,毎日,まいにち,every day,Noun,私は毎日学校に行きます。,I go to school every day.
N5,毎年,まいねん; まいとし,"every year, yearly, annually",Adverb (fukushi),毎年、家族と旅行に行きます。,"Every year, I go on a trip with my family."
N5,毎晩,まいばん,every night,Noun,私は毎晩テレビを見ます。,I watch TV every night.
N5,前,まえ,"before, in front","Noun, used as a prefix",学校の前に公園があります。,There is a park in front of the school.
N5,～前,～まえ,in front of ~,"Noun, used as a suffix",学校の前に公園があります。,There is a park in front of the school.
N5,曲る,まがる,"to turn, to bend",Godan verb,角を曲がってください。,Please turn at the corner.
N5,まずい,まずい,"bad (in reference to food), unappetizing, unpleasant (taste)",I-adjective (keiyoushi),この料理はまずいです。,This dish is bad.
N5,また,また,and; furthermore,Adverb (fukushi),私はりんごが好きです。また、バナナも好きです。,"I like apples. Furthermore, I also like bananas."
N5,まだ,まだ,"yet, still",Adverb (fukushi),私はまだ宿題をしていません。,I still haven't done my homework.
N5,町,まち,town; city,Noun,私は町に住んでいます。,I live in a town.
N5,待つ,まつ,to wait,Godan verb with 'tsu' ending,私は友達を待っています。,I am waiting for my friend.
N5,まっすぐ,まっすぐ,"straight (ahead), direct",Adverb (fukushi),まっすぐ行ってください。,Please go straight.
N5,マッチ,マッチ,matchstick,Noun,私はマッチを使ってキャンドルに火をつけました。,I used a match to light the candle.
N5,窓,まど,A structure in a wall that allows light and air to enter a room.,Noun,窓を開けてください。,Please open the window.
N5,丸い; 円い,まるい,"round, circular",I-adjective (keiyoushi),このテーブルは丸いです。,This table is round.
N5,万,まん,ten thousand,Noun,彼は万ドルを持っています。,He has ten thousand dollars.
N5,万年筆,まんねんひつ,fountain pen,Noun,私は万年筆で手紙を書きます。,I write letters with a fountain pen.
N5,磨く,みがく,to brush (teeth); to polish,Godan verb with 'ku' ending,毎朝歯を磨きます。,I brush my teeth every morning.
N5,右,みぎ,right side,Noun,私の右に猫がいます。,There is a cat on my right.
N5,短い,みじかい,short (in length),I-adjective (keiyoushi),このペンは短いです。,This pen is short.
N5,水,みず,water,Noun,私は水を飲みます。,I drink water.
N5,店,みせ,"store, shop",Noun,この店はとても安いです。,This store is very cheap.
N5,見せる,みせる,"to show, to display",Ichidan verb,私は友達に写真を見せる。,I will show the photo to my friend.
N5,道,みち,"road, street; way, directions",Noun,この道をまっすぐ行ってください。,Please go straight down this road.
N5,三日,みっか,three days; the third day of the month,Noun,今日は三日です。,Today is the third day of the month.
N5,三つ,みっつ,three things,Noun,リンゴが三つあります。,There are three apples.
N5,緑,みどり,green,Noun,公園には緑がたくさんあります。,There is a lot of green in the park.
N5,皆さん,みなさん,"everyone, all of you",Noun,皆さん、こんにちは。,"Hello, everyone."
N5,南,みなみ,South,Noun,私は南に行きます。,I will go south.
N5,耳,みみ,ear,Noun,私の耳が痛いです。,My ear hurts.
N5,見る,みる,"to see, to look at",Ichidan verb,私は映画を見る。,I watch a movie.
N5,みんな,みんな,"everyone, all",Noun,みんなで公園に行きましょう。,Let's all go to the park.
N5,六日,むいか,six days; sixth day of the month,Noun,今日は六日です。,Today is the sixth day of the month.
N5,向こう,むこう,"over there, beyond",Noun,向こうに山があります。,There is a mountain over there.
N5,難しい,むずかしい,difficult,I-adjective (keiyoushi),この問題は難しいです。,This problem is difficult.
N5,六つ,むっつ,six (things),Noun,りんごが六つあります。,There are six apples.
N5,村,むら,"a small community or settlement, typically smaller than a town",Noun,私は村に住んでいます。,I live in a village.
N5,目,め,eye,Noun,私の目は大きいです。,My eyes are big.
N5,メートル,メートル,meter,Noun,この部屋は五メートルの長さです。,This room is five meters long.
N5,眼鏡,めがね,glasses,Noun,私は眼鏡をかけています。,I am wearing glasses.
N5,もう,もう,already; again; more,Adverb (fukushi),もう食べましたか？,Have you already eaten?
N5,木曜日,もくようび,Thursday,Noun,木曜日に友達と会います。,I will meet my friend on Thursday.
N5,もしもし,もしもし,Hello? (used when answering the phone),Interjection,もしもし、元気ですか？,Hello? How are you?
N5,持つ,もつ,"to hold, to carry; to possess",Godan verb with 'tsu' ending,私は本を持っています。,I have a book.
N5,もっと,もっと,more,Adverb (fukushi),もっと勉強したいです。,I want to study more.
N5,物,もの,thing (concrete object),Noun,これは私の物です。,This is my thing.
N5,門,もん,gate,Noun,学校の門は大きいです。,The gate of the school is big.
N5,問題,もんだい,a problem,Noun,この問題は簡単です。,This problem is easy.
N5,～屋,～や,~ shop,Noun (Suffix),本屋に行きます。,I will go to the bookstore.
N5,八百屋,やおや,a shop that sells vegetables and fruits; greengrocer,Noun,私は八百屋で野菜を買います。,I buy vegetables at the greengrocer.
N5,野菜,やさい,vegetable,Noun,私は毎日野菜を食べます。,I eat vegetables every day.
N5,易しい,やさしい,"easy, simple",I-adjective (keiyoushi),この問題は易しいです。,This problem is easy.
N5,安い,やすい,inexpensive; cheap (things),I-adjective (keiyoushi),この本は安いです。,This book is cheap.
N5,休み,やすみ,holiday; day off; absence,Noun,明日は休みです。,Tomorrow is a holiday.
N5,休む,やすむ,"to rest, to take a break, to take time off",Godan verb with 'mu' ending,今日は仕事を休む。,I will take a break from work today.
N5,八つ,やっつ,eight (things),Noun,りんごを八つ買いました。,I bought eight apples.
N5,山,やま,mountain,Noun,私は山に登ります。,I will climb the mountain.
N5,やる,やる,"to do; to give (to pets, parents, siblings, etc.)",Godan verb with 'ru' ending,犬に餌をやる。,I give food to the dog.
N5,夕方,ゆうがた,"late afternoon (just before dinner time), evening",Noun,夕方に友達と公園に行きます。,I will go to the park with my friend in the evening.
N5,夕飯,ゆうはん,"dinner, evening meal",Noun,私は毎晩夕飯を食べます。,I eat dinner every evening.
N5,郵便局,ゆうびんきょく,post office,Noun,私は郵便局に行きます。,I will go to the post office.
N5,昨夜,ゆうべ,last night,Noun,昨夜、友達と映画を見ました。,"Last night, I watched a movie with my friend."
N5,有名,ゆうめい,famous,Na-adjective,彼は有名な歌手です。,He is a famous singer.
N5,雪,ゆき,snow,Noun,冬に雪が降ります。,It snows in winter.
N5,ゆっくりと,ゆっくりと,"slowly, at ease",Adverb (fukushi),彼はゆっくりと歩きます。,He walks slowly.
N5,八日,ようか,eight days; the eighth day of the month,Noun,今日は八日です。,Today is the eighth day of the month.
N5,洋服,ようふく,Western-style clothing,Noun,私は洋服を買いました。,I bought Western-style clothes.
N5,よく,よく,"frequently, often; well, skillfully",Adverb (fukushi),私はよく本を読みます。,I often read books.
N5,横,よこ,side; next to,Noun,私の横に座ってください。,Please sit next to me.
N5,四日,よっか,four days; the fourth day of the month,Noun,今日は四日です。,Today is the fourth day.
N5,四つ,よっつ,four things,Noun,りんごが四つあります。,There are four apples.
N5,呼ぶ,よぶ,to call (someone's name); to invite,Godan verb with 'bu' ending,友達を呼びました。,I called my friend.
N5,読む,よむ,to read,Godan verb with 'mu' ending,私は本を読みます。,I read a book.
N5,夜,よる,night,Noun,私は夜にテレビを見ます。,I watch TV at night.
N5,弱い,よわい,weak,I-adjective (keiyoushi),彼は弱いです。,He is weak.
N5,来月,らいげつ,next month,Noun,来月、友達と旅行に行きます。,"Next month, I will go on a trip with my friend."
N5,来週,らいしゅう,next week,Noun,来週、友達と映画を見ます。,"Next week, I will watch a movie with my friend."
N5,来年,らいねん,next year,Noun,来年、私は日本に行きます。,"Next year, I will go to Japan."
N5,ラジオ,ラジオ,radio,Noun,私は毎朝ラジオを聞きます。,I listen to the radio every morning.
N5,ラジオカセ,ラジオカセ,ラジオカセットプレーヤー,Noun,私はラジオカセットを聞きます。,I listen to the radio cassette.
N5,りっぱ,りっぱ,"splendid, fine",Na-adjective,彼の絵はりっぱです。,His painting is splendid.
N5,留学生,りゅうがくせい,student from another country,Noun,彼は留学生です。,He is an international student.
N5,両親,りょうしん,parents (both mother and father),Noun,私の両親は日本に住んでいます。,My parents live in Japan.
N5,料理,りょうり,cooking; cuisine,Noun,私は日本料理が好きです。,I like Japanese cuisine.
N5,旅行,りょこう,"travel, trip",Noun,私は友達と旅行に行きます。,I will go on a trip with my friends.
N5,零,れい,"zero, nought",Noun,私の点数は零でした。,My score was zero.
N5,冷蔵庫,れいぞうこ,refrigerator,Noun,冷蔵庫に牛乳があります。,There is milk in the refrigerator.
N5,レコード,レコード,record,Noun,私はレコードを聞きます。,I listen to records.
N5,レストラン,レストラン,A place where people go to eat meals.,Noun,私はレストランで昼ごはんを食べます。,I eat lunch at a restaurant.
N5,練習,れんしゅう (する),(to) practice,Noun/Verb,毎日ピアノの練習をします。,I practice the piano every day.
N5,廊下,ろうか,a long passage or hallway in a building,Noun,学校の廊下を歩きます。,I walk in the school corridor.
N5,六,ろく,six,Numeric,私は六つのリンゴを持っています。,I have six apples.
N5,ワイシャツ,ワイシャツ,shirt (usually a white dress shirt worn for business),Noun,彼はワイシャツを着ています。,He is wearing a shirt.
N5,若い,わかい,young,I-adjective (keiyoushi),彼は若いです。,He is young.
N5,分かる,わかる,to understand,Godan verb with 'ru' ending,私は日本語が分かります。,I understand Japanese.
N5,忘れる,わすれる,to forget,Ichidan verb,私は宿題を忘れました。,I forgot my homework.
N5,私,わたし,"I, me",Pronoun,私は学生です。,I am a student.
N5,私,わたくし,"I (formal), myself",Pronoun,私は学生です。,I am a student.
N5,渡す,わたす,to hand (something) over; to pass (something),Godan verb with 'su' ending,私は友達に本を渡します。,I will hand over the book to my friend.
N5,渡る,わたる,"to cross over, to go across",Godan verb,橋を渡る。,I cross the bridge.
N5,悪い,わるい,bad; not good,I-adjective (keiyoushi),このりんごは悪いです。,This apple is bad.
N5,ある,ある,to be; to have (for inanimate objects),Godan verb with 'ru' ending,机の上に本がある。,There is a book on the desk.
N5,川,かわ,river,Noun,川で魚を釣ります。,I will fish in the river.
N5,九,きゅう/く,nine,Numeric,私は九つのりんごを持っています。,I have nine apples.
N5,七,しち/なな,seven,Numeric,私は七つのリンゴを持っています。,I have seven apples.
